title,City,full_address,rank_in_city,total_in_rank_list,overall_rating,count_of_reviews,Excellet_count,VGood_count,Average_count,Poor_count,Terrible_count,full_link,link,rank_quartile,Room Count
The Ponce Hotel,Atlanta,"585 Parkway Dr NE, Atlanta, GA 30308-2605",152,174,2,133,18,10,10,12,71,https://www.tripadvisor.com/Hotel_Review-g60898-d86267-Reviews-The_Ponce_Hotel-Atlanta_Georgia.html,https://www.tripadvisor.com/Hotel_Review-g60898-d86267-Reviews-The_Ponce_Hotel-Atlanta_Georgia.html,4,139
Ramada Plaza Atlanta Airport,Atlanta,"5010 Old National Hwy, Atlanta, GA 30349-3258",153,174,2.5,399,37,45,67,97,146,https://www.tripadvisor.com/Hotel_Review-g60898-d1654095-Reviews-Ramada_Plaza_Atlanta_Airport-Atlanta_Georgia.html,https://www.tripadvisor.com/Hotel_Review-g60898-d1654095-Reviews-Ramada_Plaza_Atlanta_Airport-Atlanta_Georgia.html,4,232
"Motel 6 Atlanta, GA - Stadium SE",Atlanta,"4900 Circle 75 Pkwy SE, Atlanta, GA 30339-3001",154,174,2.5,41,6,5,4,8,17,https://www.tripadvisor.com/Hotel_Review-g60898-d89392-Reviews-Motel_6_Atlanta_GA_Stadium_SE-Atlanta_Georgia.html,https://www.tripadvisor.com/Hotel_Review-g60898-d89392-Reviews-Motel_6_Atlanta_GA_Stadium_SE-Atlanta_Georgia.html,4,57
Ramada Limited Atlanta,Atlanta,"2115 Piedmont Rd NE, Atlanta, GA 30324-4154",156,174,1.5,23,0,1,3,4,15,https://www.tripadvisor.com/Hotel_Review-g60898-d281857-Reviews-Ramada_Limited_Atlanta-Atlanta_Georgia.html,https://www.tripadvisor.com/Hotel_Review-g60898-d281857-Reviews-Ramada_Limited_Atlanta-Atlanta_Georgia.html,4,182
InTown Suites Atlanta Central,Atlanta,"1375 Northside Dr NW, Atlanta, GA 30318-4343",157,174,2.5,9,1,2,1,0,4,https://www.tripadvisor.com/Hotel_Review-g60898-d224841-Reviews-InTown_Suites_Atlanta_Central-Atlanta_Georgia.html,https://www.tripadvisor.com/Hotel_Review-g60898-d224841-Reviews-InTown_Suites_Atlanta_Central-Atlanta_Georgia.html,4,140
Super 8 Atlanta Northeast GA,Atlanta,"2822 Chamblee Tucker Rd, Atlanta, GA 30341-3926",158,174,2.5,57,4,5,13,14,19,https://www.tripadvisor.com/Hotel_Review-g60898-d578452-Reviews-Super_8_Atlanta_Northeast_GA-Atlanta_Georgia.html,https://www.tripadvisor.com/Hotel_Review-g60898-d578452-Reviews-Super_8_Atlanta_Northeast_GA-Atlanta_Georgia.html,4,52
Budgetel Savannah,Atlanta,"140 Pine St NE, Atlanta, GA 30308-3413",159,174,2,161,5,16,19,15,78,https://www.tripadvisor.com/Hotel_Review-g60898-d556644-Reviews-Budgetel_Savannah-Atlanta_Georgia.html,https://www.tripadvisor.com/Hotel_Review-g60898-d556644-Reviews-Budgetel_Savannah-Atlanta_Georgia.html,4,164
A2C Budget Hotel,Atlanta,"4265 Shirley Dr SW, Atlanta, GA 30336-1907",160,174,1.5,26,2,0,2,2,19,https://www.tripadvisor.com/Hotel_Review-g60898-d86249-Reviews-A2C_Budget_Hotel-Atlanta_Georgia.html,https://www.tripadvisor.com/Hotel_Review-g60898-d86249-Reviews-A2C_Budget_Hotel-Atlanta_Georgia.html,4,120
Travel Inn Atlanta,Atlanta,"2788 Forrest Hills Dr SW, Atlanta, GA 30315-9023",161,174,1.5,36,1,1,3,1,29,https://www.tripadvisor.com/Hotel_Review-g60898-d86163-Reviews-Travel_Inn_Atlanta-Atlanta_Georgia.html,https://www.tripadvisor.com/Hotel_Review-g60898-d86163-Reviews-Travel_Inn_Atlanta-Atlanta_Georgia.html,4,119
Knights Inn Atlanta Near Six Flags,Atlanta,"4330 Fulton Industrial Blvd SW, Atlanta, GA 30336-1927",162,174,1.5,140,6,8,4,10,111,https://www.tripadvisor.com/Hotel_Review-g60898-d89446-Reviews-Knights_Inn_Atlanta_Near_Six_Flags-Atlanta_Georgia.html,https://www.tripadvisor.com/Hotel_Review-g60898-d89446-Reviews-Knights_Inn_Atlanta_Near_Six_Flags-Atlanta_Georgia.html,4,153
Motel 6 Atlanta - Chamblee Tucker,Atlanta,"3585 Chamblee Tucker Rd, Atlanta, GA 30341-4409",163,174,2,25,2,4,1,2,15,https://www.tripadvisor.com/Hotel_Review-g60898-d217050-Reviews-Motel_6_Atlanta_Chamblee_Tucker-Atlanta_Georgia.html,https://www.tripadvisor.com/Hotel_Review-g60898-d217050-Reviews-Motel_6_Atlanta_Chamblee_Tucker-Atlanta_Georgia.html,4,69
Super Inn,Atlanta,"301 Fulton Industrial Cir SW, Atlanta, GA 30336-1831",164,174,1.5,11,1,0,0,0,9,https://www.tripadvisor.com/Hotel_Review-g60898-d86272-Reviews-Super_Inn-Atlanta_Georgia.html,https://www.tripadvisor.com/Hotel_Review-g60898-d86272-Reviews-Super_Inn-Atlanta_Georgia.html,4,62
Intown Suites Piedmont,Atlanta,"1944 Piedmont Cir NE, Atlanta, GA 30324-4800",165,174,1,15,0,0,0,2,13,https://www.tripadvisor.com/Hotel_Review-g60898-d120640-Reviews-Intown_Suites_Piedmont-Atlanta_Georgia.html,https://www.tripadvisor.com/Hotel_Review-g60898-d120640-Reviews-Intown_Suites_Piedmont-Atlanta_Georgia.html,4,234
Global Inn,Atlanta,"2867 Northeast Expressway, Atlanta, GA 30345",166,174,1,1,0,0,0,0,1,https://www.tripadvisor.com/Hotel_Review-g60898-d226771-Reviews-Global_Inn-Atlanta_Georgia.html,https://www.tripadvisor.com/Hotel_Review-g60898-d226771-Reviews-Global_Inn-Atlanta_Georgia.html,4,25
Fulton Inn Motor Hotel,Atlanta,"4230 Wendell Dr SW, Atlanta, GA 30336-1621",167,174,1,2,0,0,0,0,2,https://www.tripadvisor.com/Hotel_Review-g60898-d120660-Reviews-Fulton_Inn_Motor_Hotel-Atlanta_Georgia.html,https://www.tripadvisor.com/Hotel_Review-g60898-d120660-Reviews-Fulton_Inn_Motor_Hotel-Atlanta_Georgia.html,4,124
InTown Suites Austin,Austin,"9909 N Lamar Blvd, Austin, TX 78753-4115",183,205,2,20,2,1,0,4,13,https://www.tripadvisor.com/Hotel_Review-g30196-d284421-Reviews-InTown_Suites_Austin-Austin_Texas.html,https://www.tripadvisor.com/Hotel_Review-g30196-d284421-Reviews-InTown_Suites_Austin-Austin_Texas.html,4,119
